العمر(رقم_عدد صحيح),الجنس,الفرع الدراسي,المدينة/المحافظة,اهتمامي بالبرمجة والتقنية,اهتمامي بالرياضيات والمنطق,اهتمامي بالفيزياء والهندسة,اهتمامي بالطب والعلوم الصحية,اهتمامي بالكيمياء والأحياء,اهتمامي باللغات والآداب,اهتمامي بالعلوم الإنسانية (فلسفة، علم نفس، اجتماع),اهتمامي بالاقتصاد وإدارة الأعمال,اهتمامي بالفنون (رسم، موسيقى، تصميم),اهتمامي بالقانون والحقوق,أفضل الدراسة النظرية على العملية,أستمتع بحل المسائل المعقدة,أفضل العمل مع الناس أكثر من العمل مع الحاسوب,أتحمل ضغط الدراسة العالي إذا كان التخصص أحبه,أميل للاستقرار الوظيفي أكثر من المغامرة,ترتيب أهمية الدخل الجيد بالنسبة لي,ترتيب أهمية المكانة الاجتماعية,ترتيب أهمية العمل في مجال أحبه,ترتيب أهمية الاستقرار الوظيفي,التخصص الأول الذي أرغب به, التخصص الثاني الذي أرغب به, التخصص الثالث الذي أرغب به,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها,ما هو التخصص الذي يرغب أهلك أن تدرسه؟,سبب اختيار أهلك لهذا التخصص؟,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟,القدرة المادية للعائلة,علامة الرياضيات (0–100),علامة الفيزياء (0–100),علامة الكيمياء (0–100),علامة اللغة العربية (0–100),علامة اللغة الأجنبية (0–100),هل يمكنك الدراسة خارج مدينتك؟,هل يمكنك الدراسة في جامعة خاصة؟,ما هو التخصص الذي تتوقع أن تختاره فعليًا؟,هل أنت مستعد للتنازل عن رغبتك الأولى إذا كان هناك تخصص قريب منها_encoded,هل أنت مستعد لتحقيق رغبة الأهل على حساب رغبتك الشخصية؟_encoded,هل يمكنك الدراسة في جامعة خاصة؟_encoded,القدرة المادية للعائلة_encoded,cluster
17,2,1,2,2,2,3,5,1,1,2,3,1,4,3,3,4,5,2,3,3,4,2,1,5,8,1,1,1,0,2,80.0,70.0,90.0,97.0,50.0,0,1,1,0.5,0.0,0.5,1,0
18,2,1,2,3,5,5,4,4,4,3,5,5,3,4,4,5,5,3,1,3,1,1,2,7,4,1,1,1,1,1,75.0,90.0,100.0,95.0,80.0,0,1,0,0.5,0.5,0.5,0,1
18,2,1,2,3,3,3,4,4,3,1,3,1,1,1,3,2,4,3,1,1,3,1,1,1,3,1,1,1,0,2,50.0,98.0,75.0,90.0,75.0,0,1,1,0.5,0.0,0.5,1,1
17,2,1,2,4,2,4,5,4,4,1,5,1,5,4,5,5,5,1,1,2,1,2,5,1,4,1,5,1,0,2,70.0,80.0,90.0,100.0,50.0,1,0,5,0.5,0.0,0.0,1,1
17,2,1,2,5,5,1,3,1,4,1,1,3,3,1,3,3,4,2,4,4,2,2,1,6,5,2,1,1,1,1,60.0,55.0,50.0,80.0,48.0,0,0,0,1.0,0.5,0.0,0,0
17,2,1,2,1,4,3,4,2,3,1,1,3,3,1,3,3,4,2,3,2,1,3,1,6,5,2,1,4,1,1,70.0,50.0,43.0,80.0,40.0,0,0,0,1.0,0.5,0.0,0,0
18,2,1,2,1,1,3,4,3,4,2,4,4,4,2,3,4,5,4,1,2,1,1,1,2,7,1,2,1,0,1,50.0,100.0,80.0,90.0,100.0,0,0,0,0.5,0.0,0.0,0,1
17,2,1,2,3,1,4,5,5,4,1,1,5,1,4,5,5,5,2,1,1,1,1,1,2,7,2,1,1,2,2,50.0,75.0,80.0,90.0,80.0,1,0,1,1.0,1.0,0.0,1,1
18,2,1,2,5,2,4,4,3,3,1,3,5,4,3,2,3,4,4,1,1,1,1,1,2,3,2,1,1,2,1,60.0,80.0,70.0,90.0,50.0,1,0,0,1.0,1.0,0.0,0,1
17,2,1,2,3,3,3,5,4,4,1,2,2,1,1,3,2,4,1,2,2,1,3,1,3,2,1,2,1,1,2,80.0,52.0,70.0,80.0,80.0,1,1,1,0.5,0.5,0.5,1,1
17,2,1,2,5,4,3,1,1,1,1,3,1,2,2,3,1,5,2,3,3,1,3,3,2,5,0,1,1,2,1,60.0,50.0,70.0,95.0,20.0,1,0,3,0.0,1.0,0.0,0,0
18,2,1,2,2,3,5,1,1,1,1,1,1,2,1,5,5,4,4,3,3,4,4,2,3,4,0,1,3,1,2,90.5,99.0,99.0,92.0,98.0,1,2,2,0.0,0.5,1.0,1,0
18,2,1,2,2,2,2,5,5,3,1,2,1,1,1,2,4,4,5,1,2,1,1,1,2,3,1,1,1,2,1,95.0,97.5,90.0,93.0,99.0,0,0,1,0.5,1.0,0.0,0,1
17,2,1,2,1,2,3,5,4,4,3,1,4,1,2,3,5,5,2,1,2,1,1,1,2,6,0,1,4,2,2,70.0,60.0,90.0,100.0,50.0,0,1,1,0.0,1.0,0.5,1,1
18,2,1,2,1,3,3,5,4,2,1,1,1,2,1,3,4,5,4,1,1,1,3,1,1,1,0,1,2,0,1,99.0,100.0,85.0,86.0,100.0,1,1,1,0.0,0.0,0.5,0,1
17,2,1,2,3,4,3,1,4,2,3,3,1,1,5,5,1,1,5,1,1,3,3,2,3,8,2,3,4,0,2,93.0,80.0,70.0,75.0,50.0,1,1,2,1.0,0.0,0.5,1,0
17,2,1,2,1,4,3,5,4,5,1,2,1,1,5,1,4,2,5,1,3,4,2,1,7,2,2,1,1,0,1,60.0,80.0,70.0,66.0,55.0,0,0,0,1.0,0.0,0.0,0,0
17,2,1,2,2,5,4,5,3,3,4,3,1,2,1,5,5,5,1,1,4,1,1,1,2,4,0,1,3,1,2,87.0,90.0,90.0,70.0,90.0,0,0,1,0.0,0.5,0.0,1,1
17,2,1,2,2,5,4,3,3,5,2,4,1,3,3,3,1,5,1,2,1,1,3,2,8,5,1,1,3,2,1,80.0,95.0,70.0,95.0,80.0,0,0,2,0.5,1.0,0.0,0,1
17,2,1,2,1,4,3,4,3,2,1,3,1,1,1,3,5,5,1,4,4,1,4,1,2,8,1,1,3,0,2,75.0,85.0,80.0,90.0,90.0,1,1,1,0.5,0.0,0.5,1,0
17,2,1,2,1,5,5,5,5,3,1,3,4,1,1,5,5,5,3,3,4,1,2,1,3,7,0,1,3,1,1,80.0,100.0,90.0,90.0,80.0,0,0,1,0.0,0.5,0.0,0,1
